campaign_id,environment,primitive,seed,train_steps,horizon,baseline_psnr,candidate_psnr,delta_psnr,baseline_ssim,candidate_ssim,delta_ssim,baseline_masked_mse,candidate_masked_mse,delta_masked_mse
acwm-autoloop-screen-reacher-next_forcing-s2838-t512-r1,reacher,next_forcing,2838,512,16,30.656355112987136,33.275380967210936,2.6190258542238,0.9833876006305218,0.98896324634552,0.005575645714998245,0.015626318752765656,0.008161023259162903,-0.007465295493602753
acwm-autoloop-screen-reacher-next_forcing-s2838-t512-r1,reacher,next_forcing,2838,512,32,29.792608290827395,32.37366646984094,2.581058179013546,0.9804675821214914,0.9884136524051428,0.007946070283651352,0.019138233736157417,0.010557274334132671,-0.008580959402024746
acwm-autoloop-screen-reacher-next_forcing-s2843-t512-r1,reacher,next_forcing,2843,512,16,30.656355112987136,34.046199987754534,3.389844874767398,0.9833876006305218,0.9893699027597904,0.005982302129268646,0.015626318752765656,0.006268788129091263,-0.009357530623674393
acwm-autoloop-screen-reacher-next_forcing-s2843-t512-r1,reacher,next_forcing,2843,512,32,29.792608290827395,33.03794915754373,3.245340866716333,0.9804675821214914,0.9888217225670815,0.00835414044559002,0.019138233736157417,0.008800765499472618,-0.0103374682366848
acwm-autoloop-screen-reacher-self_forcing_finetune-s1800-t512-r1,reacher,self_forcing_finetune,1800,512,16,30.656355112987136,33.50783100236106,2.8514758893739227,0.9833876006305218,0.9876462519168854,0.004258651286363602,0.015626318752765656,0.007583910599350929,-0.008042408153414726
acwm-autoloop-screen-reacher-self_forcing_finetune-s1800-t512-r1,reacher,self_forcing_finetune,1800,512,32,29.792608290827395,32.95709520951926,3.164486918691864,0.9804675821214914,0.9866554867476225,0.006187904626131058,0.019138233736157417,0.00926164910197258,-0.009876584634184837
acwm-autoloop-screen-reacher-self_forcing_finetune-s1812-t512-r1,reacher,self_forcing_finetune,1812,512,16,30.656355112987136,33.839767899628555,3.1834127866414192,0.9833876006305218,0.9891987964510918,0.005811195820569992,0.015626318752765656,0.007155538536608219,-0.008470780216157436
acwm-autoloop-screen-reacher-self_forcing_finetune-s1812-t512-r1,reacher,self_forcing_finetune,1812,512,32,29.792608290827395,32.63912242073617,2.846514129908776,0.9804675821214914,0.9882699567824602,0.0078023746609687805,0.019138233736157417,0.010066955350339413,-0.009071278385818005
acwm-autoloop-screen-reacher-self_forcing_finetune-s1815-t512-r1,reacher,self_forcing_finetune,1815,512,16,30.656355112987136,33.413005625625814,2.7566505126386787,0.9833876006305218,0.9881871491670609,0.004799548536539078,0.015626318752765656,0.008004306815564632,-0.007622011937201023
acwm-autoloop-screen-reacher-self_forcing_finetune-s1815-t512-r1,reacher,self_forcing_finetune,1815,512,32,29.792608290827395,33.00276861465752,3.2101603238301237,0.9804675821214914,0.9875933900475502,0.007125807926058769,0.019138233736157417,0.009338119067251682,-0.009800114668905735
